,modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot,flares,flares_value
494,E,K,C,1,3,1,2,2,2,1,common flares,2
495,E,R,O,1,3,1,2,2,2,1,common flares,0
496,H,S,X,1,3,1,1,1,1,1,common flares,0
497,H,S,X,1,1,1,1,2,1,1,common flares,0
498,D,S,O,2,2,1,1,2,1,1,common flares,0
499,C,S,O,2,1,1,1,2,1,1,common flares,0
500,H,S,X,1,1,1,1,1,1,1,common flares,0
501,B,X,O,1,3,1,1,2,1,1,common flares,0
502,E,A,C,2,1,3,2,2,1,1,common flares,5
503,E,A,O,1,1,1,2,2,1,1,common flares,3
504,H,R,X,1,3,1,1,2,1,1,common flares,0
505,H,S,X,1,2,1,1,1,1,1,common flares,0
506,H,S,X,1,2,1,1,1,1,1,common flares,0
507,H,S,X,1,3,1,1,2,1,1,common flares,0
508,H,S,X,1,3,1,1,2,1,1,common flares,1
509,H,H,X,1,3,1,1,2,1,1,common flares,0
510,H,S,X,1,3,1,1,1,1,1,common flares,0
511,F,K,C,2,3,3,2,2,2,1,common flares,1
512,E,A,O,2,2,1,2,2,1,1,common flares,1
513,D,S,O,1,3,1,1,2,1,1,common flares,1
514,H,S,X,1,3,1,1,1,1,1,common flares,0
515,C,S,O,1,3,1,1,2,1,1,common flares,0
516,H,S,X,1,2,1,1,2,1,1,common flares,0
517,H,S,X,1,2,1,1,2,1,1,common flares,0
518,C,H,O,1,3,1,1,2,1,1,common flares,1
519,B,X,O,1,1,1,1,2,1,1,common flares,0
520,F,K,C,2,3,1,2,2,2,1,common flares,0
521,E,A,O,2,2,1,2,2,1,1,common flares,0
522,D,S,I,1,3,1,1,2,1,1,common flares,0
523,H,S,X,1,3,1,1,1,1,1,common flares,0
524,C,R,I,1,3,1,1,2,1,1,common flares,0
525,D,A,O,1,3,1,1,2,1,1,common flares,1
526,H,S,X,1,2,1,1,2,1,1,common flares,0
527,C,S,O,2,3,1,1,2,1,1,common flares,1
528,C,S,O,1,2,1,1,2,1,1,common flares,0
529,F,K,I,2,2,1,2,2,2,1,common flares,1
530,E,R,O,2,2,1,2,2,1,1,common flares,0
531,C,R,I,1,3,1,1,2,1,1,common flares,0
532,D,R,O,1,3,1,1,2,1,1,common flares,0
533,D,A,I,1,3,1,1,2,1,1,common flares,0
534,D,S,O,1,3,1,1,2,1,1,common flares,1
535,C,S,O,1,3,1,1,2,1,1,common flares,0
536,H,S,X,1,1,1,1,2,1,1,common flares,0
537,H,S,X,2,2,1,1,2,1,1,common flares,0
538,F,A,I,1,2,1,2,2,1,1,common flares,2
539,C,R,I,1,3,1,1,2,1,1,common flares,1
540,D,S,O,1,3,1,1,2,1,1,common flares,0
541,C,S,I,2,2,1,2,2,1,1,common flares,0
542,D,A,O,2,3,1,1,2,1,1,common flares,0
543,C,S,O,1,2,1,1,2,1,1,common flares,3
544,H,S,X,1,2,1,1,2,1,1,common flares,0
545,H,S,X,1,3,1,1,2,1,1,common flares,0
546,F,A,I,2,2,1,2,2,1,1,common flares,1
547,D,R,I,2,2,1,1,2,1,1,common flares,0
548,D,A,I,1,3,1,1,2,1,1,common flares,0
549,D,A,O,2,2,3,2,2,1,1,common flares,0
550,D,A,O,1,2,1,1,2,1,1,common flares,0
551,D,R,O,1,3,1,1,2,1,1,common flares,1
552,H,S,X,1,2,1,1,2,1,1,common flares,0
553,H,S,X,1,2,1,1,2,1,1,common flares,0
554,F,K,I,2,3,1,2,2,2,1,common flares,3
555,D,A,I,1,2,1,2,2,1,1,common flares,0
556,D,A,I,1,3,1,2,2,1,1,common flares,0
557,B,X,I,1,2,1,2,2,1,1,common flares,0
558,D,A,O,1,3,1,1,2,1,1,common flares,0
559,D,A,O,2,3,1,1,2,1,1,common flares,0
560,C,R,O,1,3,1,1,2,1,1,common flares,0
561,B,X,O,1,3,1,1,2,1,1,common flares,1
562,B,X,O,1,2,1,1,2,1,1,common flares,0
563,H,S,X,1,3,1,1,2,1,1,common flares,0
564,H,S,X,1,2,1,1,2,1,1,common flares,0
565,F,K,I,2,2,3,2,2,1,1,common flares,0
566,D,R,C,1,3,1,2,2,1,1,common flares,1
567,D,A,I,1,2,1,2,2,1,1,common flares,0
568,H,S,X,1,1,1,2,2,1,1,common flares,0
569,D,A,O,1,2,1,1,2,1,1,common flares,0
570,D,A,O,2,3,1,1,2,1,1,common flares,0
571,D,R,O,1,2,1,1,2,1,1,common flares,0
572,B,X,O,1,2,1,1,2,1,1,common flares,0
573,C,R,O,1,2,1,1,2,1,1,common flares,0
574,B,X,I,1,3,1,1,2,1,1,common flares,0
575,H,R,X,1,2,1,1,1,1,1,common flares,0
576,H,S,X,1,2,1,1,1,1,1,common flares,0
577,F,S,O,1,1,1,2,2,1,1,common flares,0
578,D,R,I,2,2,1,2,2,1,1,common flares,0
579,C,R,O,1,2,1,2,2,1,1,common flares,1
580,H,A,X,2,3,2,2,2,1,1,common flares,0
581,H,A,X,1,2,1,1,2,1,1,common flares,0
582,D,A,I,1,2,1,1,2,1,1,common flares,0
583,H,S,X,1,1,1,1,2,1,1,common flares,0
584,D,R,O,1,3,1,1,2,1,1,common flares,0
585,D,R,O,1,3,1,1,2,1,1,common flares,0
586,C,R,O,1,3,1,1,2,1,1,common flares,0
587,H,S,X,1,2,1,2,1,1,1,common flares,0
588,C,R,O,1,3,1,1,2,1,1,common flares,0
589,D,R,O,1,3,1,1,2,1,1,common flares,0
590,C,R,O,1,1,1,2,2,1,1,common flares,0
591,H,S,X,1,2,1,2,2,1,1,common flares,0
592,H,A,X,1,3,1,1,2,1,1,common flares,0
593,D,S,I,1,2,1,2,2,1,1,common flares,0
594,B,X,O,1,3,1,1,2,1,1,common flares,0
595,B,X,I,1,3,1,1,2,1,1,common flares,0
596,D,S,I,1,3,1,1,2,1,1,common flares,0
597,H,R,X,1,3,1,1,2,1,1,common flares,0
598,H,A,X,1,2,1,2,1,1,1,common flares,0
599,H,R,X,1,2,1,1,2,1,1,common flares,0
600,B,X,O,1,3,1,1,2,1,1,common flares,0
601,B,X,O,1,3,1,1,2,1,1,common flares,0
602,B,X,O,1,3,1,1,2,1,1,common flares,0
603,C,S,O,1,2,1,2,2,1,1,common flares,0
604,B,X,O,2,1,1,2,2,1,1,common flares,0
605,H,R,X,1,2,1,2,2,1,1,common flares,0
606,D,R,O,1,1,1,1,2,1,1,common flares,0
607,D,S,O,1,2,1,2,2,1,1,common flares,0
608,B,X,O,1,2,1,1,2,1,1,common flares,0
609,C,R,O,1,1,1,1,2,1,1,common flares,0
610,C,R,O,1,2,1,2,2,1,1,common flares,0
611,C,R,O,1,3,1,1,2,1,1,common flares,0
612,C,A,O,1,3,1,2,2,1,1,common flares,0
613,H,S,X,1,3,1,1,2,1,1,common flares,0
614,C,R,O,1,3,1,1,2,1,1,common flares,0
615,H,R,X,1,1,1,1,2,1,1,common flares,0
616,C,R,I,1,3,1,1,2,1,1,common flares,2
617,D,A,O,1,3,1,2,2,1,1,common flares,0
618,B,X,O,1,3,1,1,2,1,1,common flares,0
619,H,R,X,1,3,1,1,2,1,1,common flares,0
620,C,S,O,2,2,3,2,2,1,1,common flares,1
621,H,R,X,1,3,1,1,2,1,1,common flares,0
622,C,R,O,1,2,1,2,2,1,1,common flares,0
623,C,R,O,1,2,1,1,2,1,1,common flares,0
624,H,A,X,1,2,1,2,2,1,1,common flares,0
625,C,R,O,1,3,1,1,2,1,1,common flares,0
626,B,X,O,1,3,1,1,2,1,1,common flares,0
627,D,R,I,1,3,1,1,2,1,1,common flares,2
628,H,A,X,1,2,1,2,2,1,1,common flares,0
629,C,R,O,1,3,1,1,2,1,1,common flares,0
630,H,S,X,1,3,1,2,2,1,1,common flares,0
631,B,X,O,1,2,1,1,2,1,1,common flares,0
632,H,S,X,1,2,1,1,2,1,1,common flares,0
633,C,S,O,1,2,1,2,2,1,1,common flares,0
634,C,R,O,1,1,1,1,2,1,1,common flares,0
635,H,R,X,1,3,1,1,2,1,1,common flares,0
636,E,A,I,2,3,1,2,2,1,1,common flares,1
637,D,R,I,1,2,1,2,2,1,1,common flares,0
638,C,R,O,1,2,1,1,2,1,1,common flares,0
639,B,X,O,1,3,1,1,2,1,1,common flares,0
640,C,S,O,1,2,1,1,2,1,1,common flares,1
641,H,S,X,2,2,1,2,2,1,1,common flares,0
642,B,X,O,1,3,1,1,2,1,1,common flares,0
643,C,S,O,1,3,1,2,2,1,1,common flares,0
644,D,A,I,1,3,1,1,2,1,1,common flares,0
645,E,A,I,2,2,1,2,2,1,1,common flares,0
646,D,R,I,2,3,2,2,2,1,1,common flares,0
647,C,S,O,1,3,1,1,2,1,1,common flares,0
648,H,S,X,1,2,1,2,2,1,1,common flares,0
649,C,A,O,1,2,1,2,2,1,1,common flares,0
650,C,R,O,1,2,1,2,2,1,1,common flares,0
651,C,A,I,1,2,1,2,2,1,1,common flares,0
652,B,X,O,1,2,1,2,2,1,1,common flares,0
653,D,A,I,2,3,1,1,2,1,1,common flares,0
654,C,R,O,1,3,1,1,2,1,1,common flares,0
655,B,X,O,1,3,1,1,2,1,1,common flares,0
656,H,S,X,1,2,1,2,2,1,1,common flares,0
657,C,A,O,1,3,1,2,2,1,1,common flares,0
658,D,R,I,1,2,1,2,2,1,1,common flares,0
659,C,R,O,1,2,1,2,2,1,1,common flares,0
660,B,X,I,1,3,1,2,2,1,1,common flares,0
661,D,A,I,2,3,3,2,2,1,1,common flares,2
662,D,R,O,1,3,1,1,2,1,1,common flares,1
663,B,X,O,1,3,1,1,2,1,1,common flares,0
664,D,R,O,1,3,1,1,2,1,1,common flares,0
665,H,A,X,1,2,1,2,2,1,1,common flares,0
666,B,X,O,1,1,1,2,2,1,1,common flares,0
667,C,A,O,1,2,1,2,2,1,1,common flares,0
668,D,A,I,1,2,1,2,2,1,1,common flares,4
669,C,R,O,1,1,1,1,2,1,1,common flares,0
670,C,R,O,1,1,1,1,2,1,1,common flares,0
671,H,A,X,1,2,1,2,2,1,1,common flares,0
672,C,R,O,1,2,1,2,2,1,1,common flares,0
673,D,S,O,2,3,1,2,2,1,1,common flares,1
674,B,X,O,2,3,1,1,2,1,1,common flares,0
675,C,S,O,1,3,1,1,2,1,1,common flares,0
676,B,X,O,1,3,1,1,2,1,1,common flares,0
677,B,X,O,1,3,1,1,2,1,1,common flares,0
678,H,S,X,1,2,1,2,2,1,1,common flares,0
679,D,A,I,2,2,1,2,2,1,1,common flares,0
680,H,R,X,1,2,1,1,2,1,1,common flares,0
681,D,R,O,1,2,1,1,2,1,1,common flares,0
682,H,R,X,1,2,1,1,2,1,1,common flares,0
683,H,S,X,1,2,1,1,1,1,1,common flares,0
684,H,S,X,1,3,1,2,2,1,1,common flares,0
685,D,K,I,2,3,2,2,2,1,1,common flares,2
686,B,X,O,1,2,1,1,2,1,1,common flares,0
687,B,X,I,1,2,1,1,2,1,1,common flares,0
688,B,X,O,1,2,1,1,2,1,1,common flares,0
689,H,S,X,1,2,1,1,1,1,1,common flares,0
690,B,X,O,1,3,1,1,2,1,1,common flares,0
691,H,S,X,1,2,1,1,1,1,1,common flares,0
692,D,K,I,1,3,1,2,2,1,1,common flares,4
693,B,X,O,1,1,1,1,2,1,1,common flares,0
694,B,X,O,1,3,1,1,2,1,1,common flares,0
695,H,S,X,1,2,1,1,1,1,1,common flares,0
696,C,S,O,2,3,3,1,2,1,1,common flares,0
697,B,X,O,1,3,1,1,2,1,1,common flares,0
698,D,R,O,1,2,1,1,2,1,1,common flares,0
699,D,K,I,2,3,1,2,2,1,1,common flares,3
700,B,X,O,1,3,1,1,2,1,1,common flares,0
701,H,S,X,1,2,1,1,1,1,1,common flares,0
702,C,S,O,1,3,1,1,2,1,1,common flares,0
703,B,X,O,1,3,1,1,2,1,1,common flares,0
704,D,R,O,1,3,1,1,2,1,1,common flares,0
705,C,R,O,1,3,1,1,2,1,1,common flares,0
706,D,R,O,1,3,1,1,2,1,1,common flares,0
707,D,K,I,2,2,1,2,2,1,1,common flares,1
708,D,A,I,1,3,1,1,2,1,1,common flares,0
709,H,S,X,1,2,1,1,1,1,1,common flares,0
710,C,S,O,2,2,2,1,2,1,1,common flares,0
711,D,R,O,1,2,1,1,2,1,1,common flares,0
712,B,X,O,1,2,1,1,2,1,1,common flares,0
713,B,X,O,1,2,1,1,2,1,1,common flares,0
714,B,X,O,1,3,1,1,2,1,1,common flares,1
715,B,X,O,1,3,1,1,2,1,1,common flares,0
716,D,S,O,1,2,1,1,2,1,1,common flares,1
717,D,A,I,2,2,3,2,2,1,1,common flares,0
718,D,S,O,1,3,1,1,2,1,1,common flares,1
719,D,A,I,1,2,1,2,2,1,1,common flares,0
720,C,S,O,1,3,1,1,2,1,1,common flares,0
721,H,R,X,1,3,1,1,2,1,1,common flares,0
722,C,R,O,1,3,1,1,2,1,1,common flares,0
723,B,X,O,1,2,1,1,2,1,1,common flares,0
724,B,X,O,1,3,1,1,2,1,1,common flares,0
725,D,A,I,1,3,1,1,2,1,1,common flares,0
726,H,S,X,1,2,1,1,1,1,1,common flares,0
727,C,R,O,1,3,1,1,2,1,1,common flares,1
728,H,A,X,1,1,1,2,2,1,1,common flares,0
729,H,S,X,1,1,1,1,2,1,1,common flares,0
730,D,A,I,1,3,1,2,2,1,1,common flares,0
731,H,S,X,1,1,1,1,2,1,1,common flares,0
732,C,S,O,1,2,1,1,2,1,1,common flares,0
733,D,R,O,1,2,1,1,2,1,1,common flares,1
734,D,S,I,2,3,1,1,2,1,1,common flares,0
735,D,A,C,2,3,1,2,2,1,1,common flares,0
736,H,S,X,1,3,1,1,1,1,1,common flares,0
737,D,R,O,1,2,1,1,2,1,1,common flares,0
738,C,A,O,1,3,1,1,2,1,1,common flares,0
739,D,R,O,1,3,1,1,2,1,1,common flares,0
740,H,S,X,1,3,1,1,2,1,1,common flares,0
741,H,S,X,1,2,1,1,1,1,1,common flares,0
742,B,X,O,1,2,1,1,2,1,1,common flares,0
743,E,A,I,1,3,1,2,2,1,1,common flares,1
744,D,S,O,1,3,1,1,2,1,1,common flares,0
745,H,S,X,1,3,1,1,2,1,1,common flares,0
746,H,R,X,1,1,1,1,2,1,1,common flares,0
747,D,A,O,1,1,1,2,2,1,1,common flares,0
748,D,A,I,1,2,1,2,2,1,1,common flares,0
749,H,S,X,1,2,1,1,1,1,1,common flares,0
750,C,R,O,2,2,1,1,2,1,1,common flares,0
751,C,R,O,1,3,1,1,2,1,1,common flares,0
752,D,S,I,1,3,1,1,2,1,1,common flares,1
753,H,R,X,1,2,1,1,1,1,1,common flares,0
754,H,R,X,1,2,1,1,2,1,1,common flares,0
755,E,A,C,1,3,1,2,2,1,1,common flares,0
756,D,A,O,1,3,1,1,2,1,1,common flares,0
757,C,S,O,1,3,1,1,2,1,1,common flares,0
758,H,S,X,2,2,1,1,2,1,1,common flares,0
759,D,R,O,1,3,1,2,2,1,1,common flares,0
760,C,S,O,1,2,1,2,2,1,1,common flares,0
761,H,H,X,1,2,1,1,1,1,1,common flares,0
762,C,R,O,1,3,1,1,2,1,1,common flares,0
763,D,S,I,1,3,1,2,2,1,1,common flares,1
764,C,R,O,1,3,1,1,2,1,1,common flares,0
765,H,R,X,1,3,1,1,2,1,1,common flares,0
766,H,S,X,1,2,1,2,1,1,1,common flares,0
767,H,S,X,1,2,1,1,1,1,1,common flares,0
768,D,A,O,1,1,1,2,2,1,1,common flares,0
769,D,S,I,1,3,1,1,2,1,1,common flares,0
770,H,S,X,1,3,1,1,2,1,1,common flares,0
771,C,R,I,1,3,1,2,2,1,1,common flares,0
772,D,R,I,1,3,1,2,2,1,1,common flares,0
773,H,A,X,1,2,1,1,1,1,1,common flares,0
774,B,X,O,1,2,1,1,2,1,1,common flares,0
775,E,A,I,2,3,1,2,2,1,1,common flares,2
776,D,R,O,1,3,1,1,2,1,1,common flares,0
777,H,H,X,1,3,1,2,1,1,1,common flares,0
778,D,A,I,1,2,1,1,2,1,1,common flares,0
779,D,R,O,1,3,1,1,2,1,1,common flares,0
780,B,X,O,1,3,1,1,2,1,1,common flares,0
781,D,S,I,1,3,1,2,2,1,1,common flares,0
782,H,S,X,1,2,1,1,2,1,1,common flares,0
783,D,A,I,1,3,1,2,2,1,1,common flares,0
784,C,R,O,1,3,1,1,2,1,1,common flares,0
785,D,R,O,1,2,1,2,2,1,1,common flares,0
786,H,S,X,1,3,1,1,1,1,1,common flares,0
787,D,R,O,1,3,1,1,2,1,1,common flares,0
788,E,A,I,2,2,1,2,2,1,1,common flares,3
789,D,A,I,2,3,3,1,2,1,1,common flares,1
790,B,X,O,1,2,1,1,2,1,1,common flares,0
791,H,A,X,1,3,1,2,1,1,1,common flares,0
792,D,A,I,1,3,1,2,2,1,1,common flares,3
793,C,R,O,1,2,1,1,2,1,1,common flares,0
794,D,S,O,1,1,1,2,2,1,1,common flares,0
795,H,S,X,1,2,1,1,2,1,1,common flares,0
796,D,R,O,1,1,1,2,2,1,1,common flares,0
797,C,R,O,1,2,1,1,2,1,1,common flares,0
798,B,X,O,1,2,1,2,2,1,1,common flares,0
799,H,S,X,1,3,1,1,1,1,1,common flares,0
800,C,R,O,1,2,1,1,2,1,1,common flares,0
801,E,A,O,2,2,1,2,2,1,1,common flares,4
802,E,A,I,1,3,1,2,2,1,1,common flares,0
803,H,A,X,1,3,1,2,1,1,1,common flares,0
804,D,A,I,2,3,1,2,2,1,1,common flares,0
805,C,R,O,1,3,1,1,2,1,1,common flares,0
806,D,S,O,1,2,1,2,2,1,1,common flares,0
807,H,S,X,1,2,1,1,2,1,1,common flares,0
808,D,R,O,1,3,1,2,2,1,1,common flares,0
809,H,S,X,1,2,1,1,1,1,1,common flares,0
810,C,A,O,1,1,1,1,2,1,1,common flares,0
811,E,A,I,1,2,1,2,2,1,1,common flares,0
812,E,A,C,2,2,1,2,2,1,1,common flares,0
813,H,A,X,1,2,1,2,1,1,1,common flares,0
814,D,A,C,2,2,3,2,2,1,1,common flares,0
815,E,S,I,1,2,1,2,2,1,1,common flares,0
816,H,R,X,1,2,1,1,1,1,1,common flares,0
817,H,S,X,1,3,1,1,2,1,1,common flares,0
818,D,A,I,1,3,1,2,2,1,1,common flares,0
819,H,S,X,1,3,1,1,1,1,1,common flares,0
820,E,A,O,2,3,1,2,2,1,1,common flares,0
821,E,A,O,1,2,1,2,2,1,1,common flares,1
822,C,A,O,1,2,1,2,2,1,1,common flares,0
823,D,A,C,1,2,1,2,2,1,1,common flares,0
824,E,S,I,1,3,1,2,2,1,1,common flares,5
825,H,R,X,1,3,1,1,1,1,1,common flares,0
826,D,R,I,1,3,1,1,2,1,1,common flares,1
827,H,S,X,1,3,1,1,1,1,1,common flares,0
828,H,S,X,1,3,1,2,1,1,1,common flares,0
829,D,S,I,1,3,1,2,2,1,1,common flares,0
830,H,S,X,1,2,1,1,1,1,1,common flares,0
831,H,A,X,1,2,1,2,2,1,1,common flares,0
832,F,A,I,1,2,1,2,2,1,1,common flares,4
833,C,A,O,1,3,1,2,2,1,1,common flares,0
834,C,A,I,1,2,1,2,2,1,1,common flares,0
835,E,A,I,1,3,1,2,2,1,1,common flares,0
836,H,S,X,1,2,1,1,1,1,1,common flares,1
837,D,R,I,2,3,1,2,2,1,1,common flares,1
838,H,S,X,1,2,1,2,1,1,1,common flares,0
839,B,X,O,1,3,1,1,2,1,1,common flares,0
840,D,S,O,1,1,3,2,2,1,1,common flares,0
841,H,S,X,1,2,1,1,1,1,1,common flares,0
842,F,A,I,2,2,1,2,2,1,1,common flares,3
843,C,R,O,1,2,1,2,2,1,1,common flares,0
844,E,A,I,2,3,3,2,2,1,1,common flares,1
845,H,S,X,1,3,1,1,1,1,1,common flares,0
846,C,A,I,1,2,1,2,2,1,1,common flares,0
847,H,S,X,1,2,1,2,1,1,1,common flares,0
848,D,R,I,1,3,1,1,2,1,1,common flares,0
849,C,R,O,1,3,1,1,2,1,1,common flares,0
850,H,S,X,1,2,1,1,1,1,1,common flares,0
851,F,A,I,2,2,1,2,2,1,1,common flares,0
852,C,R,O,1,2,1,2,2,1,1,common flares,0
853,H,S,X,1,3,1,2,2,1,1,common flares,1
854,E,A,I,1,3,1,2,2,1,1,common flares,0
855,H,S,X,2,2,1,1,1,1,1,common flares,1
856,C,A,I,2,3,1,2,2,1,1,common flares,0
857,H,S,X,1,2,1,2,1,1,1,common flares,0
858,D,R,I,1,3,1,2,2,1,1,common flares,0
859,C,R,O,1,3,1,1,2,1,1,common flares,0
860,H,S,X,1,2,1,1,1,1,1,common flares,0
861,F,A,I,1,1,1,2,2,1,1,common flares,0
862,H,R,X,1,1,1,2,2,1,1,common flares,0
863,H,S,X,2,3,1,2,2,1,1,common flares,0
864,E,S,I,2,2,1,2,2,1,1,common flares,3
865,H,S,X,1,3,1,1,1,1,1,common flares,0
866,D,R,I,1,2,1,2,2,1,1,common flares,0
867,H,R,X,1,2,1,2,1,1,1,common flares,0
868,D,A,O,1,2,1,2,2,1,1,common flares,0
869,H,R,X,1,1,1,1,2,1,1,common flares,0
870,B,X,O,1,2,1,1,2,1,1,common flares,0
871,H,S,X,1,2,1,2,1,1,1,common flares,0
872,H,S,X,1,2,1,2,2,1,1,common flares,0
873,E,S,I,2,2,1,2,2,1,1,common flares,0
874,C,S,O,2,2,1,1,2,1,1,common flares,0
875,C,R,O,1,1,1,2,2,1,1,common flares,0
876,H,S,X,1,2,1,2,1,1,1,common flares,0
877,B,X,O,1,3,1,1,2,1,1,common flares,0
878,H,S,X,1,3,1,1,1,1,1,common flares,0
879,H,S,X,1,2,1,2,2,1,1,common flares,0
880,D,A,I,2,2,1,2,2,1,1,common flares,1
881,H,S,X,1,2,1,1,2,1,1,common flares,0
882,B,X,O,1,2,1,2,2,1,1,common flares,0
883,H,S,X,1,2,1,2,1,1,1,common flares,0
884,C,R,O,1,3,1,1,2,1,1,common flares,0
885,D,S,O,2,3,1,2,2,1,1,common flares,0
886,D,H,O,1,3,1,1,2,1,1,common flares,0
887,D,R,O,1,3,1,1,2,1,1,common flares,0
888,C,S,O,1,2,1,1,2,1,1,common flares,0
889,H,S,X,1,2,1,2,2,1,1,common flares,0
890,D,A,I,1,2,1,2,2,1,1,common flares,0
891,H,S,X,1,2,1,1,2,1,1,common flares,0
892,H,R,X,1,2,1,2,1,1,1,common flares,0
893,C,S,O,1,3,1,2,2,1,1,common flares,0
894,C,S,I,1,3,1,1,2,1,1,common flares,0
895,H,R,X,1,2,1,1,2,1,1,common flares,0
896,C,S,O,1,3,1,1,2,1,1,common flares,0
897,H,S,X,1,2,1,2,2,1,1,common flares,0
898,D,A,O,1,3,1,2,2,1,1,common flares,0
899,H,S,X,1,2,1,1,2,1,1,common flares,0
900,H,R,X,1,3,1,2,1,1,1,common flares,0
901,B,X,O,1,3,1,1,2,1,1,common flares,0
902,C,S,O,1,2,1,2,2,1,1,common flares,1
903,C,S,O,1,2,1,1,2,1,1,common flares,0
904,C,R,O,1,3,1,1,2,1,1,common flares,0
905,C,S,O,1,1,1,1,2,1,1,common flares,0
906,B,X,O,1,3,1,1,2,1,1,common flares,0
907,C,S,O,1,2,1,1,2,1,1,common flares,1
908,D,A,I,1,3,1,2,2,1,1,common flares,1
909,H,S,X,1,2,1,1,2,1,1,common flares,0
910,H,S,X,1,3,1,2,1,1,1,common flares,0
911,C,S,O,1,3,1,1,2,1,1,common flares,1
912,C,S,O,1,3,1,2,2,1,1,common flares,2
913,H,S,X,1,3,1,1,2,1,1,common flares,1
914,C,R,O,1,2,1,1,2,1,1,common flares,0
915,D,S,O,1,3,1,1,2,1,1,common flares,0
916,H,S,X,2,3,1,1,2,1,1,common flares,0
917,H,S,X,1,3,1,1,2,1,1,common flares,0
918,D,A,O,1,2,1,2,2,1,1,common flares,1
919,H,S,X,1,2,1,1,2,1,1,common flares,0
920,H,S,X,1,2,1,2,1,1,1,common flares,0
921,D,S,I,1,3,1,1,2,1,1,common flares,0
922,D,A,I,2,2,1,2,2,1,1,common flares,1
923,F,S,O,2,2,1,1,2,1,1,common flares,0
924,H,R,X,1,2,1,1,2,1,1,common flares,0
925,C,R,I,1,2,1,1,2,1,1,common flares,2
926,H,S,X,1,2,1,1,2,1,1,common flares,0
927,H,S,X,1,2,1,1,2,1,1,common flares,0
928,D,A,O,1,3,1,2,2,1,1,common flares,0
929,D,A,I,2,2,1,2,2,1,1,common flares,2
930,D,S,O,2,2,3,2,2,1,1,common flares,0
931,F,H,O,1,2,1,1,2,1,1,common flares,0
932,C,R,O,1,3,1,1,2,1,1,common flares,0
933,D,R,I,1,3,1,1,2,1,1,common flares,0
934,C,S,O,1,2,1,1,2,1,1,common flares,0
935,H,R,X,1,2,1,1,2,1,1,common flares,0
936,H,R,X,1,3,1,1,1,1,1,common flares,0
937,D,S,O,1,3,1,1,2,1,1,common flares,0
938,D,S,I,1,1,1,2,2,1,1,common flares,0
939,C,R,I,1,2,1,2,2,1,1,common flares,1
940,C,S,O,1,3,1,1,2,1,1,common flares,0
941,B,X,I,2,2,1,2,2,1,1,common flares,0
942,H,S,X,1,3,1,1,2,1,1,common flares,0
943,B,X,O,1,3,1,1,2,1,1,common flares,0
944,C,S,I,1,3,1,1,2,1,1,common flares,0
945,H,R,X,2,1,1,2,2,1,1,common flares,0
946,C,S,O,1,2,1,2,2,1,1,common flares,0
947,H,S,X,1,2,1,1,2,1,1,common flares,0
948,B,X,I,1,2,1,2,2,1,1,common flares,1
949,C,S,O,1,2,1,1,2,1,1,common flares,0
950,B,X,O,1,3,1,1,2,1,1,common flares,0
951,D,A,O,1,3,1,1,2,1,1,common flares,0
952,C,S,O,1,2,1,1,2,1,1,common flares,0
953,B,X,O,1,3,1,1,2,1,1,common flares,0
954,C,S,O,2,2,1,2,2,1,1,common flares,0
955,C,S,I,1,3,1,1,2,1,1,common flares,0
956,C,R,O,1,2,1,2,2,1,1,common flares,0
957,C,S,O,1,3,1,1,2,1,1,common flares,0
958,D,A,I,1,2,1,1,2,1,1,common flares,0
959,E,A,I,1,3,1,1,2,1,1,common flares,0
960,H,R,X,1,3,1,1,2,1,1,common flares,0
961,C,R,O,1,3,1,1,2,1,1,common flares,0
962,H,S,X,1,1,1,2,2,1,1,common flares,0
963,D,S,O,1,2,1,1,2,1,1,common flares,0
964,C,S,O,2,3,1,2,2,1,1,common flares,0
965,C,S,O,1,3,1,1,2,1,1,common flares,0
966,D,A,O,1,2,1,2,2,1,1,common flares,0
967,F,S,I,1,3,1,2,2,1,1,common flares,2
968,D,A,I,1,2,1,1,2,1,1,common flares,0
969,C,R,O,1,3,1,1,2,1,1,common flares,0
970,D,A,I,1,3,1,1,2,1,1,common flares,1
971,E,S,O,1,3,1,1,2,1,1,common flares,6
972,H,S,X,1,2,1,2,2,1,1,common flares,0
973,C,S,O,1,2,1,1,2,1,1,common flares,0
974,H,S,X,1,1,1,1,2,1,1,common flares,0
975,C,S,O,1,3,1,2,2,1,1,common flares,0
976,F,S,I,1,3,1,2,2,1,1,common flares,1
977,D,R,O,1,2,1,2,2,1,1,common flares,0
978,D,A,I,2,3,1,2,2,1,1,common flares,0
979,D,R,C,2,3,1,1,2,1,1,common flares,1
980,H,K,X,1,3,1,1,1,1,1,common flares,0
981,C,R,O,1,2,1,1,2,1,1,common flares,0
982,H,S,X,1,2,1,1,2,1,1,common flares,0
983,H,A,X,1,1,1,2,2,1,1,common flares,0
984,F,S,I,2,2,1,2,2,1,1,common flares,0
985,B,X,O,1,2,1,2,2,1,1,common flares,0
986,D,S,I,1,2,1,2,2,1,1,common flares,0
987,E,H,C,2,3,1,2,2,1,1,common flares,0
988,B,X,O,1,2,1,1,2,1,1,common flares,0
989,C,H,O,1,3,1,2,2,1,1,common flares,0
990,B,X,O,1,3,1,1,2,1,1,common flares,0
